Order_ID,Order_Date,Customer_ID,Product_ID,State,City,Region,Channel,Payment_Method,Customer_Segment,Category,Product_Name,Brand,SKU_Size_g,Quantity,Unit_Price,Unit_Cost,Gross_Sales,Discount_Pct,Discount_Amount,Net_Sales,COGS,Gross_Profit,Net_Profit,Profit_Margin_Pct,Order_Status,Return_Flag,Return_Reason,Delivery_Days,Delivery_Status,Sales_Rep_ID,Distributor_ID,Warehouse_ID,Store_ID,Store_Type,Territory,Promotion_Flag,Promotion_Type,Loyalty_Member,Customer_Age,Customer_Gender,Customer_Rating,Complaint_Flag,Marketing_Source,Inventory_End_Qty,Reorder_Level,Stockout_Flag,Supplier_ID,Forecast_Quantity,Forecast_Error,Competitor_Price_Index,Sales_Target
ORD107748,2026-02-01 00:00:00,CUST103840,PROD1077,Haryana,Ambala,North,E-commerce,UPI,Premium,Biscuits,Marie Gold,Britannia,200,16.0,47.39,20.26,758.18,12.07,91.53,666.65,324.2,342.44,179.92,26.99,Delivered,No,Wrong Item,7,On Time,REP053,DIST0243,WH23,STORE01273,Hypermarket,Urban,Yes,None,No,49,Female,3.3,No,Referral,1099.0,57,Yes,SUP0027,12.0,2.0,0.868,139157.99
ORD109563,2024-07-04 00:00:00,CUST100505,PROD1171,Kerala,Kochi,South,General Trade,UPI,Family,Biscuits,Bourbon,Britannia,200,14.0,22.58,15.37,316.07,20.76,65.62,250.45,215.19,35.26,-53.25,-21.26,Cancelled,No,None,12,Delayed,REP041,DIST0092,WH26,STORE01164,Kirana,Semi-Urban,No,None,Yes,66,Male,4.2,No,Email,606.0,324,No,SUP0035,14.0,-3.0,1.044,146196.69
ORD101503,2025-03-13 00:00:00,CUST100290,PROD1149,Karnataka,Mangaluru,South,General Trade,Debit Card,Family,Bread,Bread,Britannia,250,4.0,25.85,14.97,103.39,6.38,6.6,96.8,59.89,36.91,-42.23,-43.62,Delivered,No,Customer Changed Mind,13,On Time,REP075,DIST0160,WH17,STORE02307,Hypermarket,Metro,Yes,Bundle,Yes,34,Male,4.2,No,Google,462.0,96,No,SUP0052,3.0,-3.0,1.058,57585.45
ORD109134,2026-02-14 00:00:00,CUST102870,PROD1079,Gujarat,Vadodara,West,General Trade,UPI,Family,Snacks,Toastea,Britannia,250,16.0,153.28,81.47,2452.55,,147.61,2304.94,1303.59,1001.34,588.53,25.53,Pending,No,Wrong Item,6,Delayed,REP003,DIST0082,WH13,STORE02002,Kirana,Urban,No,None,No,37,Female,4.6,No,Offline,844.0,361,No,SUP0074,17.0,-0.0,0.886,75725.6
ORD105920,2024-01-02 00:00:00,CUST100711,PROD1052,Telangana,Nizamabad,South,General Trade,UPI,Health,Cakes,Fruit Cake,Britannia,500,22.0,123.58,89.19,2718.75,10.74,291.89,2426.86,1962.1,464.76,378.9,15.61,Delivered,Yes,Wrong Item,8,Delayed,REP061,DIST0256,WH19,STORE00079,Online,Urban,No,None,No,32,Male,2.8,No,Facebook,143.0,62,No,SUP0035,21.0,2.0,0.963,27792.04
ORD102721,2025-05-11 00:00:00,CUST101495,PROD1144,Odisha,Cuttack,East,General Trade,Net Banking,Premium,Biscuits,Treat,Britannia,250,15.0,174.66,87.1,2619.91,17.12,448.55,2171.36,1306.44,864.92,701.82,32.32,Delivered,No,Customer Changed Mind,13,On Time,REP063,DIST0220,WH19,STORE00356,Kirana,Rural,No,Price Off,Yes,37,Male,3.8,No,Google,500.0,384,Yes,SUP0008,20.0,0.0,1.162,133064.31
ORD102009,2025-04-14 00:00:00,CUST100049,PROD1009,Madhya Pradesh,,Central,Modern Trade,Net Banking,Mass,Cakes,Fruit Cake,Britannia,400,13.0,45.8,20.48,595.41,11.35,67.59,527.81,266.25,261.56,140.11,26.55,Pending,No,Damaged,13,On Time,REP029,DIST0095,WH10,STORE01319,Online,Semi-Urban,No,Bundle,No,63,Female,3.4,No,Instagram,1101.0,410,No,SUP0071,10.0,-3.0,0.993,116360.93
ORD104796,2026-05-28 00:00:00,CUST101734,PROD1009,Telangana,Karimnagar,South,General Trade,Cash,Premium,Biscuits,Little Hearts,Britannia,250,12.0,62.14,38.98,745.69,10.66,79.53,666.16,467.8,198.36,146.73,22.03,Delivered,No,Wrong Item,12,Early,REP049,DIST0251,WH24,STORE01625,Distributor,Metro,No,BOGO,No,30,Male,3.5,No,Facebook,342.0,398,No,SUP0016,10.0,4.0,1.107,74118.02
ORD102492,2025-01-11 00:00:00,CUST103791,PROD1152,Maharashtra,Pune,West,General Trade,Net Banking,Kids,Biscuits,Little Hearts,Britannia,75,13.0,82.03,38.29,1066.41,12.61,134.49,931.92,497.8,434.12,302.04,32.41,Delivered,No,Wrong Item,2,On Time,REP061,DIST0168,WH25,STORE00888,Hypermarket,Rural,No,Price Off,No,32,Male,3.9,No,Facebook,596.0,102,No,SUP0056,15.0,2.0,1.195,111032.6
ORD102687,2025-03-03 00:00:00,CUST105998,PROD1047,,Rohini,North,General Trade,Cash,Kids,Biscuits,Tiger,Britannia,400,4.0,214.67,115.4,858.69,8.24,70.79,787.89,461.61,326.29,170.52,21.64,Delivered,No,Damaged,3,On Time,REP055,DIST0010,WH07,STORE00896,Distributor,Semi-Urban,No,None,Yes,25,Female,4.1,No,Offline,1163.0,124,No,SUP0082,5.0,-3.0,0.939,108390.6
ORD102993,2025-07-20 00:00:00,CUST100194,PROD1127,Odisha,Bhubaneswar,East,General Trade,UPI,Kids,Biscuits,Milk Bikis,Britannia,500,5.0,14.52,10.47,72.62,0.0,0.0,72.62,52.35,20.28,-38.56,-53.1,Delivered,No,Damaged,7,On Time,REP064,DIST0114,WH21,STORE00236,Kirana,Rural,No,Display,No,52,Female,2.9,No,Organic,1395.0,372,No,SUP0117,4.0,-0.0,0.858,106740.43
ORD100099,2026-02-22 00:00:00,CUST102221,PROD1079,Telangana,Warangal,South,Wholesale,Debit Card,Family,Biscuits,Tiger,Britannia,150,28.0,52.74,41.0,1476.84,0.0,0.0,1476.84,1147.95,328.88,270.43,18.31,Delivered,No,None,8,Early,REP069,DIST0029,WH27,STORE02546,Supermarket,Metro,No,None,No,18,Female,3.9,No,Facebook,665.0,70,No,SUP0055,32.0,-1.0,1.006,92917.86
ORD104664,2025-01-01 00:00:00,CUST102624,PROD1159,West Bengal,Howrah,East,E-commerce,Cash,Health,Biscuits,Little Hearts,Britannia,500,24.0,46.93,24.0,1126.35,12.75,143.58,982.77,575.97,406.8,188.93,19.22,Delivered,No,Quality Issue,2,On Time,REP034,DIST0038,WH26,STORE00005,Distributor,Semi-Urban,No,BOGO,No,41,Male,5.0,No,Instagram,331.0,327,No,SUP0126,29.0,4.0,0.865,111152.48
ORD105505,2026-02-27 00:00:00,CUST101268,PROD1091,Telangana,Karimnagar,South,Modern Trade,Debit Card,Kids,Biscuits,Tiger,Britannia,200,21.0,201.82,121.08,4238.18,10.5,445.13,3793.05,2542.64,1250.41,927.85,24.46,Delivered,No,None,9,Delayed,REP021,DIST0049,WH09,STORE00642,Hypermarket,Urban,No,Price Off,No,52,Male,3.3,No,Instagram,973.0,20,No,SUP0036,23.0,-6.0,0.876,58723.29
ORD103770,2026-04-03 00:00:00,CUST100718,PROD1183,Punjab,Patiala,North,E-commerce,Cash,Family,Biscuits,Treat,Britannia,400,22.0,81.67,35.82,1796.8,1.07,19.17,1777.63,788.14,989.48,829.4,46.66,Cancelled,No,Damaged,11,Early,REP030,DIST0132,WH24,STORE02566,Kirana,Rural,Yes,Display,Yes,22,Male,4.1,No,Facebook,1484.0,412,No,SUP0052,21.0,-1.0,0.907,136488.28
ORD105869,2025-07-08 00:00:00,CUST104615,PROD1124,Gujarat,Ahmedabad,West,General Trade,Debit Card,Mass,Biscuits,Jim Jam,Britannia,250,19.0,45.84,29.57,871.05,7.57,65.94,805.11,561.92,243.19,29.19,3.63,Delivered,No,None,13,Delayed,REP064,DIST0260,WH13,STORE00033,Online,Metro,No,Bundle,No,46,Male,2.4,No,Instagram,467.0,54,No,SUP0138,20.0,-1.0,1.085,37095.28
ORD109193,2024-03-21 00:00:00,CUST103773,PROD1072,Karnataka,Hubballi,South,General Trade,Debit Card,Health,Biscuits,Jim Jam,Britannia,500,24.0,82.4,52.23,1977.57,10.82,213.91,1763.66,1253.6,510.06,265.16,15.03,Delivered,No,Damaged,6,On Time,REP074,DIST0041,WH08,STORE01939,Distributor,Semi-Urban,No,Price Off,No,56,Female,,No,Organic,368.0,450,No,SUP0122,18.0,5.0,0.871,97142.59
ORD104911,2023-10-27 00:00:00,CUST100226,PROD1018,Andhra Pradesh,Tirupati,South,E-commerce,Cash,Premium,Biscuits,Jim Jam,Britannia,50,6.0,104.53,62.63,627.17,15.44,96.83,530.34,375.76,154.58,28.82,5.44,Delivered,No,Wrong Item,6,On Time,REP056,DIST0252,WH14,STORE01668,Supermarket,Rural,No,Bundle,No,47,Female,3.9,No,Google,95.0,324,No,SUP0089,5.0,1.0,1.112,113198.82
ORD101233,2023-11-29 00:00:00,CUST102606,PROD1164,Punjab,Ludhiana,North,General Trade,Debit Card,Kids,Biscuits,Treat,Britannia,300,4.0,,74.96,517.1,0.0,0.0,517.1,299.83,217.27,137.89,26.67,Delivered,No,Quality Issue,9,On Time,REP029,DIST0221,WH16,STORE00772,Supermarket,Metro,No,Bundle,No,49,Female,3.9,No,Google,1154.0,188,No,SUP0034,5.0,-6.0,1.086,23111.1
ORD107420,2025-03-21 00:00:00,CUST102934,PROD1164,Kerala,Kozhikode,South,General Trade,Credit Card,Health,Biscuits,Marie Gold,Britannia,200,2.0,184.31,117.28,368.61,28.35,104.48,264.13,234.55,29.57,-24.88,-9.42,Returned,No,Quality Issue,2,On Time,REP076,DIST0083,WH30,STORE00312,Hypermarket,Metro,No,Price Off,Yes,25,Female,4.2,Yes,Referral,14.0,398,No,SUP0011,2.0,-2.0,0.903,115798.91
ORD103943,2024-06-12 00:00:00,CUST102468,PROD1178,Telangana,Karimnagar,South,E-commerce,Credit Card,Mass,Rusk,Rusk,Britannia,75,16.0,23.2,17.87,371.24,14.64,54.34,316.9,285.89,31.01,-94.18,-29.72,Delivered,No,Customer Changed Mind,1,On Time,REP044,DIST0267,WH09,STORE00309,Online,Rural,No,None,Yes,67,Female,3.3,No,Instagram,1113.0,144,No,SUP0042,17.0,2.0,1.011,132056.27
ORD107213,2024-11-02 00:00:00,CUST104447,PROD1102,Kerala,Kochi,South,E-commerce,Cash,Family,Snacks,Toastea,Britannia,150,6.0,212.27,146.01,1273.63,0.0,0.0,1273.63,876.08,397.55,232.07,18.22,Delivered,No,Damaged,7,On Time,REP039,DIST0269,WH20,STORE00519,Online,Metro,Yes,None,No,69,Male,3.8,No,Google,1192.0,414,No,SUP0046,7.0,-1.0,0.855,116791.2
ORD104862,2023-12-01 00:00:00,CUST100528,PROD1001,Madhya Pradesh,Indore,Central,Modern Trade,UPI,Mass,Biscuits,Little Hearts,Britannia,300,20.0,119.18,71.27,2383.52,6.41,152.84,2230.67,1425.35,805.32,668.53,29.97,Delivered,No,Customer Changed Mind,6,On Time,REP038,DIST0274,WH18,STORE01138,Kirana,Semi-Urban,No,None,No,32,Female,4.7,No,Instagram,1315.0,383,No,SUP0049,26.0,-3.0,0.897,88761.01
ORD101020,2026-01-28 00:00:00,CUST104680,PROD1071,Punjab,Jalandhar,North,Modern Trade,Cash,Premium,Biscuits,Little Hearts,Britannia,50,8.0,100.73,43.72,805.84,0.0,0.0,805.84,349.72,456.12,335.17,41.59,Delivered,Yes,Quality Issue,11,On Time,REP007,DIST0282,WH29,STORE00666,Kirana,Semi-Urban,Yes,BOGO,No,63,Other,3.6,Yes,Google,751.0,421,No,SUP0095,8.0,-2.0,1.055,85944.74
ORD104597,2025-04-02 00:00:00,CUST100860,PROD1008,Odisha,Cuttack,East,General Trade,Net Banking,Kids,Bread,Bread,Britannia,200,10.0,213.32,99.06,2133.15,18.82,401.41,1731.74,990.57,741.17,581.9,33.6,Delivered,No,Damaged,1,Delayed,REP065,DIST0144,WH08,STORE00475,Hypermarket,Urban,No,Display,No,38,Male,3.4,No,Google,882.0,190,No,SUP0149,11.0,4.0,0.963,34666.72
ORD101205,2025-05-25 00:00:00,CUST100134,PROD1068,Tamil Nadu,Madurai,South,Wholesale,UPI,Family,Bread,Bread,Britannia,150,12.0,48.8,25.53,585.62,1.81,10.58,575.04,306.34,268.7,138.66,24.11,Delivered,Yes,Damaged,7,On Time,REP022,DIST0149,WH08,STORE01804,Kirana,Semi-Urban,No,None,No,42,Male,4.7,No,Instagram,232.0,119,No,SUP0037,11.0,3.0,1.109,146219.06
ORD103508,2025-07-17 00:00:00,CUST104108,PROD1070,Tamil Nadu,Tiruchirappalli,South,Wholesale,Cash,Mass,Biscuits,50-50,Britannia,250,29.0,28.3,16.32,820.58,6.58,53.95,766.63,473.29,293.34,147.88,19.29,Delivered,No,Damaged,12,On Time,REP009,DIST0029,WH09,STORE00490,Kirana,Metro,No,Display,Yes,54,Female,3.4,No,Offline,996.0,207,No,SUP0065,27.0,2.0,0.936,135870.9
ORD106956,2024-02-28 00:00:00,CUST105857,PROD1175,Delhi,,North,General Trade,Cash,Kids,Bread,Bread,Britannia,300,30.0,65.66,33.09,1969.87,0.0,0.0,1969.87,992.63,977.24,699.92,35.53,Delivered,No,Wrong Item,6,Delayed,REP072,DIST0074,WH21,STORE02339,Kirana,Semi-Urban,No,Display,No,50,Female,3.5,No,Referral,922.0,310,No,SUP0009,25.0,1.0,1.038,98985.67
ORD105452,2024-08-21 00:00:00,CUST101166,PROD1151,Telangana,Nizamabad,South,Modern Trade,UPI,Premium,Rusk,Rusk,Britannia,300,21.0,85.87,66.81,1803.32,9.27,167.09,1636.23,1402.96,233.27,-75.39,-4.61,Delivered,Yes,Damaged,10,Delayed,REP074,DIST0087,WH26,STORE01891,Supermarket,Metro,No,BOGO,No,61,Female,4.0,No,Email,638.0,476,Yes,SUP0059,21.0,-1.0,1.141,37475.75
ORD104170,2026-02-13 00:00:00,CUST104378,PROD1158,Gujarat,Rajkot,West,Modern Trade,Cash,Family,Biscuits,Marie Gold,Britannia,500,29.0,211.63,151.0,6137.25,4.87,298.76,5838.48,4379.01,1459.47,450.21,7.71,Delivered,No,Quality Issue,5,On Time,REP059,DIST0070,WH23,STORE01230,Kirana,Urban,Yes,Bundle,Yes,36,Female,3.4,No,Referral,1100.0,359,No,SUP0053,27.0,-1.0,1.077,64865.04
ORD109660,2025-10-15 00:00:00,CUST102775,PROD1082,Madhya Pradesh,Indore,Central,Modern Trade,Net Banking,Mass,Biscuits,Good Day,Britannia,100,9.0,195.73,126.69,1761.55,11.53,203.13,1558.43,1140.19,418.24,169.68,10.89,Delivered,No,Customer Changed Mind,13,On Time,REP023,DIST0255,WH14,STORE02748,Kirana,Urban,No,BOGO,Yes,19,Female,4.3,No,Email,629.0,489,No,SUP0136,8.0,-1.0,0.918,18943.78
ORD109144,2026-01-09 00:00:00,CUST105002,PROD1164,Rajasthan,Kota,West,Modern Trade,Cash,Mass,Biscuits,Tiger,Britannia,50,29.0,133.15,65.17,3861.42,13.93,537.97,3323.45,1889.79,1433.67,1041.18,31.33,Delivered,No,Damaged,7,Delayed,REP003,DIST0249,WH10,STORE01263,Kirana,Metro,No,Price Off,No,62,Male,3.8,No,Offline,1212.0,484,No,SUP0016,30.0,4.0,1.043,114582.71
ORD101223,2026-07-19 00:00:00,CUST100503,PROD1084,Uttar Pradesh,Kanpur,North,Modern Trade,Net Banking,Mass,Biscuits,Milk Bikis,Britannia,75,12.0,71.59,48.27,859.07,11.25,96.65,762.42,579.28,183.14,39.19,5.14,Delivered,Yes,Customer Changed Mind,3,On Time,REP004,DIST0029,WH23,STORE01247,Distributor,Metro,Yes,Bundle,No,52,Male,3.2,Yes,Referral,1440.0,172,No,SUP0005,16.0,-1.0,0.943,114638.0
ORD106137,2024-06-30 00:00:00,CUST105358,PROD1071,Tamil Nadu,Madurai,South,General Trade,Net Banking,Kids,Biscuits,Milk Bikis,Britannia,300,2.0,16.34,11.42,32.68,9.22,3.01,29.66,22.83,6.83,-23.34,-78.67,Delivered,No,Damaged,14,Delayed,REP012,DIST0035,WH13,STORE02407,Hypermarket,Urban,No,Price Off,No,68,Male,5.0,No,Offline,573.0,419,No,SUP0105,2.0,-4.0,0.879,149187.82
ORD105116,2025-08-07 00:00:00,CUST103984,PROD1043,Madhya Pradesh,Jabalpur,Central,Wholesale,Debit Card,Mass,Biscuits,Treat,Britannia,500,24.0,205.71,100.38,4936.97,14.57,719.5,4217.47,2409.11,1808.37,1091.87,25.89,Pending,No,Customer Changed Mind,4,Delayed,REP035,DIST0042,WH26,STORE02440,Hypermarket,Semi-Urban,Yes,Bundle,No,20,Female,4.3,No,Organic,1093.0,342,No,SUP0126,19.0,8.0,1.137,89807.64
ORD102174,2026-02-14 00:00:00,CUST105282,PROD1198,Telangana,Warangal,South,Modern Trade,Credit Card,Health,Rusk,Rusk,Britannia,100,12.0,162.6,96.15,1951.18,18.06,352.42,1598.77,1153.81,444.95,187.88,11.75,Delivered,Yes,None,9,Delayed,REP044,DIST0268,WH26,STORE00489,Supermarket,Metro,No,BOGO,No,48,Female,4.3,No,Offline,1045.0,163,Yes,SUP0144,12.0,-3.0,0.934,48428.67
ORD103667,2026-03-27 00:00:00,CUST103859,PROD1156,Tamil Nadu,Coimbatore,South,E-commerce,Cash,Premium,Biscuits,Milk Bikis,Britannia,500,6.0,183.64,98.04,1101.85,13.93,153.52,948.34,588.21,360.12,173.48,18.29,Delivered,No,Quality Issue,8,On Time,REP078,DIST0206,WH30,STORE00043,Distributor,Semi-Urban,Yes,Price Off,No,18,Male,3.6,No,Organic,50.0,294,No,SUP0012,7.0,-5.0,0.885,117232.01
ORD107394,2024-02-23 00:00:00,CUST105071,PROD1171,Andhra Pradesh,Tirupati,South,Modern Trade,UPI,Premium,Rusk,Rusk,Britannia,150,26.0,216.1,101.62,5618.66,3.28,184.11,5434.56,2642.19,2792.37,2258.32,41.55,Returned,No,Customer Changed Mind,6,On Time,REP034,DIST0148,WH22,STORE00457,Kirana,Metro,No,Display,Yes,40,Female,3.6,No,Facebook,1247.0,62,No,SUP0134,24.0,-2.0,1.064,28696.81
ORD100775,2025-10-21 00:00:00,CUST102835,PROD1184,Delhi,Saket,North,General Trade,Net Banking,Family,Bread,Bread,Britannia,250,21.0,45.31,35.03,951.59,5.67,53.94,897.65,735.66,161.99,-8.17,-0.91,Delivered,No,Wrong Item,1,Delayed,REP012,DIST0161,WH23,STORE00736,Distributor,Metro,No,Bundle,Yes,55,Female,4.7,Yes,Organic,182.0,183,No,SUP0079,16.0,-7.0,0.859,42515.66
ORD101423,2024-11-20 00:00:00,CUST101829,PROD1029,Rajasthan,Udaipur,West,Modern Trade,UPI,Family,Rusk,Rusk,Britannia,100,28.0,199.49,130.55,5585.71,14.09,787.22,4798.49,3655.48,1143.01,546.32,11.39,Delivered,No,Customer Changed Mind,3,On Time,REP034,DIST0056,WH22,STORE01146,Online,Rural,No,BOGO,No,67,Male,3.7,No,Offline,398.0,188,Yes,SUP0005,28.0,-3.0,0.997,11207.48
ORD105238,2025-06-14 00:00:00,CUST102155,PROD1061,Haryana,Gurugram,North,Modern Trade,Cash,Mass,Biscuits,Bourbon,Britannia,100,6.0,167.25,80.57,1003.48,14.29,143.42,860.05,483.41,376.64,286.51,33.31,Delivered,No,Quality Issue,7,On Time,REP029,DIST0158,WH09,STORE00026,Kirana,Urban,Yes,BOGO,Yes,49,Female,3.4,No,Google,368.0,252,No,SUP0108,8.0,-3.0,1.183,115630.93
ORD108283,2025-12-23 00:00:00,CUST102915,PROD1152,Karnataka,Mangaluru,South,General Trade,Credit Card,Premium,Cakes,Fruit Cake,Britannia,400,2.0,173.42,120.88,346.84,10.7,37.11,309.73,241.77,67.96,-43.5,-14.04,Delivered,No,Customer Changed Mind,2,On Time,REP032,DIST0182,WH08,STORE02339,Supermarket,Rural,No,Price Off,No,45,Female,3.2,No,Email,997.0,222,Yes,SUP0139,2.0,-3.0,0.901,89123.18
